id,Title,Date,Permalink,"Research Topics","Press Types",Categories
3250,"Raffaella Margutti Joins CIERA to Investigate the Biggest Explosions in Our Universe",09/01/2016,https://ciera.northwestern.edu/2016/09/01/raffaella-margutti-joins-ciera-to-investigate-the-biggest-explosions-in-our-universe/,"Life &amp; Death of Stars","CIERA Stories|Northwestern Press",Achievement
3254,"Sasha Tchekhovskoy Receives High-Performance Computing Award",12/18/2018,https://ciera.northwestern.edu/2018/12/18/sasha-tchekhovskoy-receives-high-performance-computing-award/,"Black Holes &amp; Dead Stars","CIERA Stories","Achievement|Data Science &amp; Computing|Science"
3257,"Shane Larson Wins Grand Prize in Instructables Optics Contest",12/18/2018,https://ciera.northwestern.edu/2018/12/18/shane-larson-wins-grand-prize-in-instructables-optics-contest/,,"CIERA Stories|External Press",Achievement|Education|Interdisciplinary|Outreach
3274,"Birth of a Black Hole or Neutron Star Captured for First Time",01/10/2019,https://ciera.northwestern.edu/2019/01/10/birth-of-a-black-hole-or-neutron-star-captured-for-first-time/,"Black Holes &amp; Dead Stars|Life &amp; Death of Stars","External Press|Northwestern Press",Science
3278,"CIERA Hosts GNOME Data Analysis Bootcamp",08/31/2016,https://ciera.northwestern.edu/2016/08/31/ciera-hosts-gnome-data-analysis-bootcamp/,,"CIERA Stories","Data Science &amp; Computing|Event|Interdisciplinary|Science"
3280,"REU Poster Session Celebrates Hard Work with Sweet Rewards",08/30/2016,https://ciera.northwestern.edu/2016/08/30/reu-poster-session-celebrates-hard-work-with-sweet-rewards/,,"CIERA Stories",Education|Event|Interdisciplinary
3301,"NASA Illinois Space Grant Recipients Present Their Summer Research Projects",08/29/2016,https://ciera.northwestern.edu/2016/08/29/nasa-illinois-space-grant-recipients-present-their-summer-research-projects/,"Black Holes &amp; Dead Stars|Exoplanets &amp; The Solar System|Galaxies &amp; Cosmology|Stellar Dynamics &amp; Stellar Populations","CIERA Stories",Education|Event|Interdisciplinary
3308,"CIERA's 2016 Summer Student Researchers",08/28/2016,https://ciera.northwestern.edu/2016/08/28/cieras-2016-summer-student-researchers/,,"CIERA Stories",Education
3311,"CIERA Hosts Inaugural Cohort of New LSSTC Data Science Fellowship Program",08/27/2016,https://ciera.northwestern.edu/2016/08/27/ciera-hosts-inaugural-cohort-of-new-lsstc-data-science-fellowship-program/,,"CIERA Stories","Data Science &amp; Computing|Education|Interdisciplinary|Outreach"
3314,"Physics and Astronomy Department Rising in Impact and Visibility",07/30/2016,https://ciera.northwestern.edu/2016/07/30/physics-and-astronomy-department-rising-in-impact-and-visibility/,,"Northwestern Press",Achievement
3316,"The Legacy of Scientific Discovery - by Mike Zevin, LIGO Graduate Student",07/29/2016,https://ciera.northwestern.edu/2016/07/29/the-legacy-of-scientific-discovery-by-mike-zevin-ligo-graduate-student/,"Gravitational Waves &amp; Multi-Messenger Astronomy","External Press",Achievement|Outreach|Science
3317,"CIERA Students Awarded Funding for Summer Research and Illinois Space Grant Projects",07/14/2016,https://ciera.northwestern.edu/2016/07/14/ciera-students-awarded-funding-for-summer-research-and-illinois-space-grant-projects/,,"CIERA Stories",Achievement|Education|Interdisciplinary
3329,"Experts Share with CIERA REU Students at Career Panel Discussion",07/13/2016,https://ciera.northwestern.edu/2016/07/13/experts-share-with-ciera-reu-students-at-career-panel-discussion/,"Stellar Dynamics &amp; Stellar Populations","CIERA Stories","Data Science &amp; Computing|Education|Event|Outreach"
3330,"CIERA Graduate Students Dazzle the Public at Ravinia’s Astronomy Night",07/13/2016,https://ciera.northwestern.edu/2016/07/13/ciera-graduate-students-dazzle-the-public-at-ravinias-astronomy-night/,,"CIERA Stories",Education|Event|Outreach
3332,"Data Science is Transforming Research at Northwestern-CIERA",07/12/2016,https://ciera.northwestern.edu/2016/07/12/data-science-is-transforming-research-at-northwestern-ciera/,,"CIERA Stories|Northwestern Press","Data Science &amp; Computing"
